timestamp,src_ip,dst_ip,protocol,length,flags,sport,dport
1745214448.0658062,40.104.77.34,10.30.247.143,6,66,FA,443,51021
1745214448.066516,10.30.247.143,40.104.77.34,6,66,A,51021,443
1745214448.2312682,10.30.247.143,142.250.182.234,17,71,0,57000,443
1745214448.2439208,142.250.182.234,10.30.247.143,17,67,0,443,57000
1745214449.060996,10.30.247.143,8.8.8.8,17,252,0,59709,443
1745214449.0614002,10.30.247.143,8.8.8.8,17,252,0,59709,443
1745214449.079079,8.8.8.8,10.30.247.143,17,70,0,443,59709
1745214449.079564,8.8.8.8,10.30.247.143,17,621,0,443,59709
1745214449.0799859,8.8.8.8,10.30.247.143,17,64,0,443,59709
1745214449.080374,8.8.8.8,10.30.247.143,17,571,0,443,59709
1745214449.080749,8.8.8.8,10.30.247.143,17,64,0,443,59709
1745214449.081185,10.30.247.143,8.8.8.8,17,77,0,59709,443
1745214449.0816052,10.30.247.143,8.8.8.8,17,77,0,59709,443
1745214449.081941,10.30.247.143,142.250.192.133,6,78,S,51022,443
1745214449.089387,8.8.8.8,10.30.247.143,17,65,0,443,59709
1745214449.089782,142.250.192.133,10.30.247.143,6,74,SA,443,51022
1745214449.090183,10.30.247.143,142.250.192.133,6,66,A,51022,443
1745214449.091169,10.30.247.143,142.250.192.133,6,1436,A,51022,443
1745214449.091699,10.30.247.143,142.250.192.133,6,965,PA,51022,443
1745214449.10177,142.250.192.133,10.30.247.143,6,66,A,443,51022
1745214449.102404,142.250.192.133,10.30.247.143,6,66,A,443,51022
1745214449.108618,10.30.247.143,8.8.8.8,17,74,0,59709,443
1745214449.1615539,142.250.192.133,10.30.247.143,6,1436,A,443,51022
1745214449.1623611,142.250.192.133,10.30.247.143,6,160,PA,443,51022
1745214449.163059,10.30.247.143,142.250.192.133,6,66,A,51022,443
1745214449.1636841,10.30.247.143,142.250.192.133,6,140,PA,51022,443
1745214449.164334,10.30.247.143,142.250.192.133,6,158,PA,51022,443
1745214449.164897,10.30.247.143,142.250.192.133,6,1436,A,51022,443
1745214449.165408,10.30.247.143,142.250.192.133,6,1436,A,51022,443
1745214449.165847,10.30.247.143,142.250.192.133,6,1436,A,51022,443
